Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19
Tue Jun 30 11:10:07 2026,1,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,80, 3, 78, 182, 0, 0, 0, 0, 0, 1, 0, 0, 1, 20, 1, 20, 0, 1, 6, 163
Tue Jun 30 11:10:09 2026,2,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0,80, 3, 76, 157, 0, 0, 0, 0, 0, 1, 0, 0, 1, 21, 1, 21, 0, 1, 6, 112
Tue Jun 30 11:10:11 2026,3,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0,80, 3, 76, 182, 0, 0, 0, 0, 0, 1, 0, 0, 1, 22, 1, 22, 0, 1, 6, 176
Tue Jun 30 11:10:13 2026,4,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0,80, 3, 76, 232, 0, 0, 0, 0, 0, 1, 0, 0, 1, 23, 1, 23, 0, 1, 6, 182
Tue Jun 30 11:10:15 2026,5,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0,80, 3, 76, 207, 0, 0, 0, 0, 0, 1, 0, 0, 1, 24, 1, 24, 0, 1, 6, 113
Tue Jun 30 11:10:18 2026,6,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0,80, 3, 76, 182, 0, 0, 0, 0, 0, 1, 0, 0, 1, 25, 1, 25, 0, 1, 6, 115
Tue Jun 30 11:10:20 2026,7,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0,80, 3, 76, 207, 0, 0, 0, 0, 0, 1, 0, 0, 1, 26, 1, 26, 0, 1, 6, 113
Tue Jun 30 11:10:22 2026,8,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0,80, 3, 76, 207, 0, 0, 0, 0, 0, 1, 0, 0, 1, 27, 1, 27, 0, 1, 6, 112
Tue Jun 30 11:10:24 2026,9,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0,80, 3, 76, 207, 0, 0, 0, 0, 0, 1, 0, 0, 1, 28, 1, 28, 0, 1, 6, 112
Tue Jun 30 11:10:26 2026,10,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0,80, 3, 78, 232, 0, 0, 0, 0, 0, 1, 0, 0, 1, 29, 1, 29, 0, 1, 6, 163
Tue Jun 30 11:10:28 2026,11,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0,80, 3, 76, 182, 0, 0, 0, 0, 0, 1, 0, 0, 1, 30, 1, 30, 0, 1, 6, 177
Tue Jun 30 11:10:30 2026,12,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0,80, 3, 78, 157, 0, 0, 0, 0, 0, 1, 0, 0, 1, 31, 1, 31, 0, 1, 6, 128
Tue Jun 30 11:10:32 2026,13,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0,82, 3, 78, 207, 0, 0, 0, 0, 0, 1, 0, 0, 1, 32, 1, 32, 0, 1, 6, 169
Tue Jun 30 11:10:34 2026,14,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0,80, 3, 78, 232, 0, 0, 0, 0, 0, 1, 0, 0, 1, 33, 1, 33, 0, 1, 6, 132
Tue Jun 30 11:10:36 2026,15,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0,80, 3, 78, 157, 0, 0, 0, 0, 0, 1, 0, 0, 1, 34, 1, 34, 0, 1, 6, 102
Tue Jun 30 11:10:38 2026,16,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0,80, 3, 78, 207, 0, 0, 0, 0, 0, 1, 0, 0, 1, 35, 1, 35, 0, 1, 6, 144
Tue Jun 30 11:10:41 2026,17,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0,80, 3, 78, 232, 0, 0, 0, 0, 0, 1, 0, 0, 1, 36, 1, 36, 0, 1, 6, 173
Tue Jun 30 11:10:43 2026,18,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0,80, 3, 78, 207, 0, 0, 0, 0, 0, 1, 0, 0, 1, 37, 1, 37, 0, 1, 6, 149
Tue Jun 30 11:10:45 2026,19,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0,80, 3, 78, 182, 0, 0, 0, 0, 0, 1, 0, 0, 1, 38, 1, 38, 0, 1, 6, 142
Tue Jun 30 11:10:47 2026,20,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0,80, 3, 78, 182, 0, 0, 0, 0, 0, 1, 0, 0, 1, 39, 1, 39, 0, 1, 6, 167
