Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19
Tue Jun 30 10:08:55 2026,1,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,80, 3, 76, 182, 0, 0, 0, 0, 0, 1, 0, 0, 0, 31, 0, 31, 0, 1, 7, 61
Tue Jun 30 10:08:57 2026,2,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0,80, 3, 78, 232, 0, 0, 0, 0, 0, 1, 0, 0, 0, 32, 0, 32, 0, 1, 7, 68
Tue Jun 30 10:09:00 2026,3,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0,80, 3, 76, 207, 0, 0, 0, 0, 0, 1, 0, 0, 0, 33, 0, 33, 0, 1, 7, 108
Tue Jun 30 10:09:02 2026,4,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0,80, 3, 78, 207, 0, 0, 0, 0, 0, 1, 0, 0, 0, 34, 0, 34, 0, 1, 7, 77
Tue Jun 30 10:09:04 2026,5,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0,80, 3, 78, 182, 0, 0, 0, 0, 0, 1, 0, 0, 0, 35, 0, 35, 0, 1, 7, 43
Tue Jun 30 10:09:06 2026,6,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0,80, 3, 78, 182, 0, 0, 0, 0, 0, 1, 0, 0, 0, 36, 0, 36, 0, 1, 7, 35
Tue Jun 30 10:09:08 2026,7,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0,80, 3, 78, 207, 0, 0, 0, 0, 0, 1, 0, 0, 0, 37, 0, 37, 0, 1, 7, 25
Tue Jun 30 10:09:10 2026,8,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0,80, 3, 78, 232, 0, 0, 0, 0, 0, 1, 0, 0, 0, 38, 0, 38, 0, 1, 7, 63
Tue Jun 30 10:09:12 2026,9,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0,80, 3, 76, 182, 0, 0, 0, 0, 0, 1, 0, 0, 0, 39, 0, 39, 0, 1, 7, 26
Tue Jun 30 10:09:14 2026,10,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0,80, 3, 76, 207, 0, 0, 0, 0, 0, 1, 0, 0, 0, 40, 0, 40, 0, 1, 7, 19
Tue Jun 30 10:09:16 2026,11,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0,80, 3, 76, 182, 0, 0, 0, 0, 0, 1, 0, 0, 0, 41, 0, 41, 0, 1, 7, 10
Tue Jun 30 10:09:18 2026,12,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0,80, 3, 78, 207, 0, 0, 0, 0, 0, 1, 0, 0, 0, 42, 0, 42, 0, 1, 7, 63
Tue Jun 30 10:09:21 2026,13,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0,80, 3, 78, 182, 0, 0, 0, 0, 0, 1, 0, 0, 0, 43, 0, 43, 0, 1, 7, 21
Tue Jun 30 10:09:23 2026,14,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0,80, 3, 78, 232, 0, 0, 0, 0, 0, 1, 0, 0, 0, 44, 0, 44, 0, 1, 7, 52
Tue Jun 30 10:09:25 2026,15,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0,80, 3, 76, 207, 0, 0, 0, 0, 0, 1, 0, 0, 0, 45, 0, 45, 0, 1, 7, 1
Tue Jun 30 10:09:27 2026,16,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0,80, 3, 76, 182, 0, 0, 0, 0, 0, 1, 0, 0, 0, 46, 0, 46, 0, 1, 7, 32
Tue Jun 30 10:09:29 2026,17,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0,80, 3, 76, 182, 0, 0, 0, 0, 0, 1, 0, 0, 0, 47, 0, 47, 0, 1, 7, 19
Tue Jun 30 10:09:31 2026,18,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0,80, 3, 76, 182, 0, 0, 0, 0, 0, 1, 0, 0, 0, 48, 0, 48, 0, 1, 7, 23
Tue Jun 30 10:09:33 2026,19,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0,80, 3, 78, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 49, 0, 49, 0, 1, 7, 67
Tue Jun 30 10:09:35 2026,20,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0,80, 3, 78, 232, 0, 0, 0, 0, 0, 1, 0, 0, 0, 50, 0, 50, 0, 1, 7, 66
Tue Jun 30 10:09:37 2026,21,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0,80, 3, 78, 207, 0, 0, 0, 0, 0, 1, 0, 0, 0, 51, 0, 51, 0, 1, 7, 11
Tue Jun 30 10:09:40 2026,22,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0,80, 3, 78, 207, 0, 0, 0, 0, 0, 1, 0, 0, 0, 52, 0, 52, 0, 1, 7, 5
